[2025-04-13 22:48:21] [START] User: 25, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:48:24] [START] User: 21, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:48:26] [START] User: 23, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:48:29] [START] User: 24, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:48:31] [START] User: 20, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:48:34] [START] User: 38, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:48:36] [START] User: 31, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:48:36] [FINISH] User: 25, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:48:38] [START] User: 41, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:48:39] [FINISH] User: 21, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:48:41] [START] User: 40, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:48:42] [FINISH] User: 23, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:48:43] [START] User: 30, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:48:44] [FINISH] User: 24, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:48:45] [START] User: 36, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:48:47] [FINISH] User: 20, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:48:48] [START] User: 34, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:48:49] [FINISH] User: 38, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:48:51] [START] User: 39, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:48:51] [FINISH] User: 31, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
