[2025-04-13 20:02:10] [START] User: 25, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:13] [START] User: 21, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:15] [START] User: 23, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:18] [START] User: 24, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:20] [START] User: 20, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:23] [START] User: 38, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:26] [FINISH] User: 25, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:26] [START] User: 31, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:28] [FINISH] User: 21, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:28] [START] User: 41, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:31] [FINISH] User: 23, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:31] [START] User: 40, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:33] [FINISH] User: 24, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:34] [START] User: 30, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:36] [FINISH] User: 20, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:37] [START] User: 36, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:39] [FINISH] User: 38, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:39] [START] User: 34, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:41] [FINISH] User: 31, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:42] [START] User: 39, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:44] [FINISH] User: 41, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:44] [START] User: 28, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:46] [FINISH] User: 40, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:47] [START] User: 29, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:49] [FINISH] User: 30, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:49] [START] User: 37, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:52] [START] User: 47, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:54] [START] User: 22, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:54] [FINISH] User: 34, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:57] [START] User: 33, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:02:57] [FINISH] User: 39, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:00] [START] User: 42, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:00] [FINISH] User: 28, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:02] [FINISH] User: 29, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:03] [START] User: 35, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:06] [START] User: 46, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:08] [FINISH] User: 47, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:08] [START] User: 26, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:10] [FINISH] User: 22, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:11] [START] User: 27, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:13] [START] User: 45, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:15] [FINISH] User: 42, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:16] [START] User: 44, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:18] [START] User: 32, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:18] [FINISH] User: 35, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:20] [START] User: 43, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:21] [FINISH] User: 46, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:23] [START] User: 49, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:25] [START] User: 50, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:28] [START] User: 51, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:30] [FINISH] User: 45, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:31] [START] User: 52, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:33] [FINISH] User: 44, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:33] [START] User: 53, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:35] [FINISH] User: 32, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:36] [START] User: 55, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:38] [START] User: 58, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:41] [START] User: 57, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:44] [START] User: 56, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:46] [START] User: 54, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:49] [START] User: 59, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:51] [START] User: 61, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:54] [START] User: 60, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:05:07] [FINISH] User: 43, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:05:11] [FINISH] User: 50, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:05:30] [FINISH] User: 58, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:06:22] [FINISH] User: 27, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:06:25] [START] User: 63, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:06:25] [START] User: 65, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:06:25] [START] User: 68, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:06:25] [START] User: 62, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:06:25] [START] User: 64, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:06:26] [START] User: 66, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:06:57] [START] User: 70, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:06:57] [START] User: 67, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:07:08] [FINISH] User: 65, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
